id   |nome                                            |precoCusto|precoVenda|ncm     |referencia    |dataCadastro
1    |CANETA BIC CRISTAL AZUL                         |0.00      |0.8000    |01011090|              |2015-10-12 10:19:37
2    |CANETA BIC CRISTAL VERMELHA                     |0.16      |0.8000    |01011090|              |2015-10-12 10:19:37
3    |CANETA BIC CRISTAL PRETA                        |0.08      |0.8000    |01011090|              |2015-10-12 10:19:37
4    |APONTADOR FABER-CASTELL                         |0.00      |1.9000    |01011090|              |2015-10-12 10:19:37
5    |REGUA ESCOLAR 30CM                              |0.00      |0.3000    |01011090|              |2015-10-12 10:19:37
6    |BORRACHA BR.APAGAR RB ERASER                    |0.06      |0.1500    |01011090|              |2015-10-12 10:19:37
7    |BORRACHA APAGAR MERCUR                          |0.06      |0.2000    |01011090|              |2015-10-12 10:19:37
8    |SAL P/ CHURRASCO DUNAS                          |0.27      |1.3500    |25010020|              |2015-10-12 10:19:37
9    |PEITO DE FRANGO BONASA                          |1.22      |6.1000    |02071400|              |2015-10-12 10:19:37
10   |RACAO SABOR CAT MEAL CARNE PEIXE VEG.           |2.04      |6.8000    |23099010|              |2015-10-12 10:19:37
11   |PILHA RAYOVAC 1,5V                              |0.30      |3.0000    |01011090|              |2015-10-12 10:19:37
12   |RACAO SABOR DOG ADULTO                          |0.67      |6.7000    |23099010|              |2015-10-12 10:19:37
13   |RACAO SABOR DOG FILHOTES                        |1.74      |8.7000    |23099010|              |2015-10-12 10:19:37
14   |COPO VDO AMERICANO S.190ML                      |0.55      |1.1000    |01011090|              |2015-10-12 10:19:37
15   |LINGUICA DE PERNIL CONG.SADIA                   |7.75      |15.5000   |16010000|              |2015-10-12 10:19:37
16   |SALSICHA CONG.SADILAR GRANEL                    |2.03      |6.7500    |01011090|              |2015-10-12 10:19:37
17   |MILHO EM GRAOS RIO TURVO 5KG                    |5.85      |11.7000   |10059010|              |2015-10-12 10:19:37
18   |MILHO TRITURADO RIO TURVO 5KG                   |5.85      |11.7000   |10059010|              |2015-10-12 10:19:37
19   |MORTADELA TUBULAR BONASA                        |1.64      |8.2000    |01011090|              |2015-10-12 10:19:37
20   |APRESUNTADO RETANGULAR SADIA                    |8.74      |21.8500   |16024900|              |2015-10-12 10:19:37
21   |RACAO TANGO MIX                                 |1.22      |3.0500    |01011090|              |2015-10-12 10:19:37
22   |RACAO GUABI HEROI C.ADULTO                      |1.31      |4.3500    |01011090|              |2015-10-12 10:19:37
23   |RACAO GUABI HEROI C.FILHOTE                     |0.88      |4.4000    |01011090|              |2015-10-12 10:19:37
24   |RACAO GUABI HEROI CAT C.P.V                     |0.00      |6.6000    |230990  |              |2015-10-12 10:19:37
25   |LINGUICA DE PERNIL S.C.BONASA                   |6.30      |12.6000   |01011090|              |2015-10-12 10:19:37
26   |APRESUNTADO COZ.SADIA S/CAPA                    |0.00      |17.9000   |01011090|              |2015-10-12 10:19:37
27   |SALSICHA HOT DOG PERDIGAO                       |0.00      |8.6000    |16010000|              |2015-10-12 10:19:37
28   |PILHA RAYOVAC GDE AMARE.10295                   |0.27      |2.6500    |01011090|              |2015-10-12 10:19:37
29   |PILHA RAYOVAC PEQ.AMARE.10895                   |0.38      |0.7500    |85061010|              |2015-10-12 10:19:37
30   |CARNE PERNIL CG SUINO SEM OSSO AGRA OLHOS D´AGUA|0.00      |11.5000   |02032900|              |2015-10-12 10:19:37
31   |LINGUICA SUINA SEARA CG                         |3.18      |10.6000   |01011090|              |2015-10-12 10:19:37
32   |CARNE BISTECA SUINA CG SEARA                    |3.24      |16.1800   |0203    |              |2015-10-12 10:19:37
33   |PEIXE R.SURUBIM DO NORTE BDJ                    |3.90      |13.0000   |01011090|              |2015-10-12 10:19:37
34   |COXA SOBRECOXA RESF PCT SPFR                    |0.00      |7.4000    |01019010|              |2015-10-12 10:19:37
35   |CARNE LOMBO CON.SUINO BONASA                    |4.91      |16.3600   |01011090|              |2015-10-12 10:19:37
36   |PEITO CON. BDJ SUPER FRANGO                     |0.85      |8.5000    |01011090|              |2015-10-12 10:19:37
37   |LINGUICA DE FRANGO SADIA                        |3.15      |10.5000   |01011090|              |2015-10-12 10:19:37
38   |SALSICHA HOT DOG RESF.SADIA                     |3.75      |7.5000    |01011090|              |2015-10-12 10:19:37
39   |LINGUICA SUINA PERDIGAO                         |3.60      |18.0000   |01011090|TOSCANA       |2015-10-12 10:19:37
40   |CARNE COPA LOMBO C.SU.BONASA                    |5.16      |17.2000   |01011090|              |2015-10-12 10:19:37
41   |CARNE LOMBO S/OSSO C.SADIA                      |2.51      |25.1000   |02032900|              |2015-10-12 10:19:37
42   |RACAO LUCK DOG CARNE 18%                        |0.60      |3.0000    |01011090|              |2015-10-12 10:19:37
43   |CARNE BISTECA CO.S.C/OSSO SADIA                 |1.36      |13.6000   |0203    |              |2015-10-12 10:19:37
44   |MORTADELA FRANGO PERDIGAO                       |2.12      |5.3000    |01011090|              |2015-10-12 10:19:37
10001|SABAO BARRA GEO 5X200G NEUTRO                   |0.44      |4.3500    |01011090|              |2015-10-12 10:19:37
10002|SABAO BARRA COMIGO 5X200G                       |0.30      |2.9800    |01011090|              |2015-10-12 10:19:37
10003|SABAO BARRA YPE 5X200G GLICER                   |2.96      |9.8500    |34011900|              |2015-10-12 10:19:37
10004|PAPEL HIG.PERSONAL 8UN NEUTRO                   |3.00      |6.0000    |48181000|              |2015-10-12 10:19:37
10005|PAPEL HIG.PERSONAL 4UN NEUTRO                   |0.98      |3.2500    |48181000|              |2015-10-12 10:19:37
10006|DETERG LIMPOL 500ML MACA                        |0.24      |2.4000    |34022000|              |2015-10-12 10:19:37
10007|DETERG LIMPOL 500ML LIMAO                       |0.24      |2.4000    |34022000|              |2015-10-12 10:19:37
10008|DETERG LIMPOL 500ML CRISTAL                     |0.48      |2.4000    |34022000|              |2015-10-12 10:19:37
10009|DETERG LIMPOL 500ML NEUTRO                      |1.20      |2.4000    |34022000|              |2015-10-12 10:19:37
10010|ESCOVA SANIT.CONDOR REF:6120                    |0.65      |6.5000    |96039000|              |2015-10-12 10:19:37
10011|CREME DENT.CLOSE-UP 90G VERDE                   |0.00      |2.9000    |01011090|              |2015-10-12 10:19:37
10012|CREME DENT.CLOSE-UP 90G VERME                   |0.90      |3.0000    |01011090|              |2015-10-12 10:19:37
10013|CREME DENT.COLG.90G M.REFRESC                   |0.34      |3.4000    |33061000|              |2015-10-12 10:19:37
10014|CREME DENT.SORRISO 90G D.BCO                    |0.83      |2.7500    |33061000|              |2015-10-12 10:19:37
10015|CREME DENT.SORRISO 50G D.BCO                    |0.76      |1.9000    |33061000|              |2015-10-12 10:19:37
