id   |nome                                                        |precoCusto|precoVenda|ncm     |referencia    |dataCriacao        
1    |CANETA BIC CRISTAL AZUL                                     |0,00      |8000,00   |01011090|              |12/10/2015 10:19:37
2    |GELATINA AMALIA CEREJA 35G                                  |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
3    |GELATINA AMALIA UVA 35G                                     |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
4    |GELATINA AMALIA FRAMBOESA 35G                               |0,00      |7000,00   |350300  |              |12/10/2015 10:19:37
5    |MACARRAO SANDELLA CALABRESA PIC.85G                         |20,00     |10000,00  |19023000|              |12/10/2015 10:19:37
6    |FIAMBRE BORDON 320G                                         |101,00    |33500,00  |01011090|              |12/10/2015 10:19:37
7    |TAL E QUAL ASSUGRIM DIET 133G                               |101,00    |100500,00 |294000  |              |12/10/2015 10:19:37
8    |AMIDO DE MAIZENA 1KG                                        |238,00    |118900,00 |01011090|              |12/10/2015 10:19:37
9    |MAIONESE HELLMANN´S 500G                                    |368,00    |73500,00  |39012029|              |12/10/2015 10:19:37
10   |KETCHUP SABORELLE 400G                                      |120,00    |30000,00  |01011090|              |12/10/2015 10:19:37
11   |CHICLE BUZZY TAT.TUTTI FRUTTI 400G                          |210,00    |70000,00  |17041000|              |12/10/2015 10:19:37
12   |ACHOC. NESTLE NESCAU 200G                                   |172,00    |43000,00  |18069000|              |12/10/2015 10:19:37
13   |LEITE EM PO GLORIA 400G                                     |84,00     |84000,00  |040210  |              |12/10/2015 10:19:37
14   |TEMPERO SABORELLE COMPLETO SEM PIMENTA 930G                 |237,00    |79000,00  |21039021|              |12/10/2015 10:19:37
15   |AZEITE ANDORINHA EXTRA VIRGEM 500ML                         |176,00    |176000,00 |01011090|              |12/10/2015 10:19:37
16   |BOLACHA VISCONTI LIMAO 120G                                 |64,00     |16000,00  |19053200|              |12/10/2015 10:19:37
17   |BOLACHA SOCIAL CLUB ORI.156G                                |0,00      |36500,00  |230990  |              |12/10/2015 10:19:37
18   |TEMPERO VELLY LEGUMES 50G                                   |150,00    |29900,00  |210390  |              |12/10/2015 10:19:37
19   |TEMPERO VELLY AVES 50G                                      |60,00     |29900,00  |210390  |              |12/10/2015 10:19:37
20   |SAZON TOQUE DE ALECRIM 60G                                  |0,00      |42000,00  |21039021|              |12/10/2015 10:19:37
21   |MISTURA BOLO SANDELLA LARANJA 400G                          |158,00    |31500,00  |01011090|              |12/10/2015 10:19:37
22   |CREME DE LEITE VIGOR 1KG                                    |370,00    |92600,00  |01011090|              |12/10/2015 10:19:37
23   |MOLHO POMAROLA LATA 340G                                    |0,00      |39000,00  |24039910|              |12/10/2015 10:19:37
24   |QUEROSENE LUZTOL LATA 900ML                                 |270,00    |90000,00  |271019  |              |12/10/2015 10:19:37
25   |SABAO PO TIXAN YPE PRIMAVERA 5KG                            |1700,00   |425000,00 |34022000|              |12/10/2015 10:19:37
26   |FRALDA PERSONAL BABY MEGA G                                 |800,00    |399900,00 |48184010|              |12/10/2015 10:19:37
27   |CHICLETE PLIM PLIM MORANGO 350G                             |92,00     |46000,00  |01011090|              |12/10/2015 10:19:37
28   |BOMBOM GAROTO SORTIDO 300G                                  |223,00    |111500,00 |18069000|              |12/10/2015 10:19:37
29   |VINHO SANGRIA CANTINA SERRA TI.SUA. 3LT                     |455,00    |151500,00 |220600  |              |12/10/2015 10:19:37
30   |M&M´S CHOC/LEITE 52G                                        |108,00    |27000,00  |01011090|              |12/10/2015 10:19:37
31   |SUCRILHOS ORIGINAL 300G                                     |0,00      |101500,00 |19041000|              |12/10/2015 10:19:37
32   |SUCO ADORALLE LARANJA 180G                                  |64,00     |16000,00  |21069010|              |12/10/2015 10:19:37
33   |MACARRAO LIANE COMUM COMPRIDO N3 1KG                        |206,00    |51500,00  |01011090|              |12/10/2015 10:19:37
34   |FITA DUREX 3M 12MMX40MT R400                                |10,00     |10000,00  |01011090|              |12/10/2015 10:19:37
35   |ARROZ TIO JORGE INTEGRAL 1KG                                |40,00     |39500,00  |10063021|              |12/10/2015 10:19:37
36   |POLPA 3 SABORES NESTLE 540G                                 |40,00     |39900,00  |01011090|              |12/10/2015 10:19:37
37   |BEBIDA LACTEA MORANGO 180G                                  |22,00     |22000,00  |01011090|              |12/10/2015 10:19:37
38   |CHANDELLE CHOCOLATE AO LEITE 220G                           |0,00      |54000,00  |01011090|              |12/10/2015 10:19:37
39   |CHANDELLE BRANCO CHOCOLATE 220G                             |216,00    |54000,00  |01011090|              |12/10/2015 10:19:37
40   |BEBIDA LARANJINHA 320ML                                     |20,00     |19900,00  |01011090|              |12/10/2015 10:19:37
41   |POLVILHO CASEIRO TACHE 1KG                                  |0,00      |54000,00  |01011090|              |12/10/2015 10:19:37
42   |ENERGETICO TITANIUM 500ML                                   |0,00      |60000,00  |01011090|              |12/10/2015 10:19:37
43   |LENÇO UMED.HUGGIES CLASSIC 48T                              |115,00    |115000,00 |34011900|              |12/10/2015 10:19:37
44   |LAMPADA ELET.EMPALUX 220X15W                                |306,00    |76500,00  |01011090|              |12/10/2015 10:19:37
45   |LAMPADA ELET.EMPALUX 220X11W                                |219,00    |73000,00  |01011090|              |12/10/2015 10:19:37
46   |GEL FIXAD BOZZANO ES.AZUL REL 230G                          |36,00     |36000,00  |01011090|              |12/10/2015 10:19:37
47   |MISTURA BOLO SANDELA CHOCOLATE 400G                         |95,00     |31500,00  |01011090|              |12/10/2015 10:19:37
48   |SUCO ADORALLE GUARANA 30G                                   |8,00      |7500,00   |01011090|              |12/10/2015 10:19:37
49   |BOLACHA AMANDA DOCE DE LEITE 110G                           |0,00      |10000,00  |19053100|              |12/10/2015 10:19:37
50   |BOLACHA AMANDA FLOCOS 110G                                  |10,00     |10000,00  |19053100|              |12/10/2015 10:19:37
51   |SUCO AORALLE FRUTAS VERM.30G                                |38,00     |7500,00   |01011090|              |12/10/2015 10:19:37
52   |SUCO ADORALLE LIMAO 30G                                     |30,00     |7500,00   |01011090|              |12/10/2015 10:19:37
53   |SUCO ADORALLE LARANJA MAMAO 30G                             |15,00     |7500,00   |01011090|              |12/10/2015 10:19:37
