id   |nome                                                        |precoCusto|precoVenda|ncm     |referencia    |dataCriacao        
25409|CANETA BIC CRISTAL AZUL                                     |0,00      |8000,00   |01011090|              |12/10/2015 10:19:37
25410|GELATINA AMALIA CEREJA 35G                                  |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
25411|GELATINA AMALIA UVA 35G                                     |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
25412|GELATINA AMALIA FRAMBOESA 35G                               |0,00      |7000,00   |350300  |              |12/10/2015 10:19:37
25413|MACARRAO SANDELLA CALABRESA PIC.85G                         |20,00     |10000,00  |19023000|              |12/10/2015 10:19:37
25414|FIAMBRE BORDON 320G                                         |101,00    |33500,00  |01011090|              |12/10/2015 10:19:37
25415|TAL E QUAL ASSUGRIM DIET 133G                               |101,00    |100500,00 |294000  |              |12/10/2015 10:19:37
25416|AMIDO DE MAIZENA 1KG                                        |238,00    |118900,00 |01011090|              |12/10/2015 10:19:37
25417|MAIONESE HELLMANN´S 500G                                    |368,00    |73500,00  |39012029|              |12/10/2015 10:19:37
25418|KETCHUP SABORELLE 400G                                      |120,00    |30000,00  |01011090|              |12/10/2015 10:19:37
25419|CHICLE BUZZY TAT.TUTTI FRUTTI 400G                          |210,00    |70000,00  |17041000|              |12/10/2015 10:19:37
25420|ACHOC. NESTLE NESCAU 200G                                   |172,00    |43000,00  |18069000|              |12/10/2015 10:19:37
25421|LEITE EM PO GLORIA 400G                                     |84,00     |84000,00  |040210  |              |12/10/2015 10:19:37
25422|TEMPERO SABORELLE COMPLETO SEM PIMENTA 930G                 |237,00    |79000,00  |21039021|              |12/10/2015 10:19:37
25423|AZEITE ANDORINHA EXTRA VIRGEM 500ML                         |176,00    |176000,00 |01011090|              |12/10/2015 10:19:37
25424|BOLACHA VISCONTI LIMAO 120G                                 |64,00     |16000,00  |19053200|              |12/10/2015 10:19:37
25425|BOLACHA SOCIAL CLUB ORI.156G                                |0,00      |36500,00  |230990  |              |12/10/2015 10:19:37
25426|TEMPERO VELLY LEGUMES 50G                                   |150,00    |29900,00  |210390  |              |12/10/2015 10:19:37
25427|TEMPERO VELLY AVES 50G                                      |60,00     |29900,00  |210390  |              |12/10/2015 10:19:37
25428|SAZON TOQUE DE ALECRIM 60G                                  |0,00      |42000,00  |21039021|              |12/10/2015 10:19:37
25429|MISTURA BOLO SANDELLA LARANJA 400G                          |158,00    |31500,00  |01011090|              |12/10/2015 10:19:37
25430|CREME DE LEITE VIGOR 1KG                                    |370,00    |92600,00  |01011090|              |12/10/2015 10:19:37
25431|MOLHO POMAROLA LATA 340G                                    |0,00      |39000,00  |24039910|              |12/10/2015 10:19:37
25432|QUEROSENE LUZTOL LATA 900ML                                 |270,00    |90000,00  |271019  |              |12/10/2015 10:19:37
25433|SABAO PO TIXAN YPE PRIMAVERA 5KG                            |1700,00   |425000,00 |34022000|              |12/10/2015 10:19:37
25434|FRALDA PERSONAL BABY MEGA G                                 |800,00    |399900,00 |48184010|              |12/10/2015 10:19:37
25435|CHICLETE PLIM PLIM MORANGO 350G                             |92,00     |46000,00  |01011090|              |12/10/2015 10:19:37
25436|BOMBOM GAROTO SORTIDO 300G                                  |223,00    |111500,00 |18069000|              |12/10/2015 10:19:37
25437|VINHO SANGRIA CANTINA SERRA TI.SUA. 3LT                     |455,00    |151500,00 |220600  |              |12/10/2015 10:19:37
25438|M&M´S CHOC/LEITE 52G                                        |108,00    |27000,00  |01011090|              |12/10/2015 10:19:37
25439|SUCRILHOS ORIGINAL 300G                                     |0,00      |101500,00 |19041000|              |12/10/2015 10:19:37
25440|SUCO ADORALLE LARANJA 180G                                  |64,00     |16000,00  |21069010|              |12/10/2015 10:19:37
25441|MACARRAO LIANE COMUM COMPRIDO N3 1KG                        |206,00    |51500,00  |01011090|              |12/10/2015 10:19:37
25442|FITA DUREX 3M 12MMX40MT R400                                |10,00     |10000,00  |01011090|              |12/10/2015 10:19:37
25443|ARROZ TIO JORGE INTEGRAL 1KG                                |40,00     |39500,00  |10063021|              |12/10/2015 10:19:37
25444|POLPA 3 SABORES NESTLE 540G                                 |40,00     |39900,00  |01011090|              |12/10/2015 10:19:37
25445|BEBIDA LACTEA MORANGO 180G                                  |22,00     |22000,00  |01011090|              |12/10/2015 10:19:37
25446|CHANDELLE CHOCOLATE AO LEITE 220G                           |0,00      |54000,00  |01011090|              |12/10/2015 10:19:37
25447|CHANDELLE BRANCO CHOCOLATE 220G                             |216,00    |54000,00  |01011090|              |12/10/2015 10:19:37
25448|BEBIDA LARANJINHA 320ML                                     |20,00     |19900,00  |01011090|              |12/10/2015 10:19:37
25449|POLVILHO CASEIRO TACHE 1KG                                  |0,00      |54000,00  |01011090|              |12/10/2015 10:19:37
25450|ENERGETICO TITANIUM 500ML                                   |0,00      |60000,00  |01011090|              |12/10/2015 10:19:37
25451|LENÇO UMED.HUGGIES CLASSIC 48T                              |115,00    |115000,00 |34011900|              |12/10/2015 10:19:37
25452|LAMPADA ELET.EMPALUX 220X15W                                |306,00    |76500,00  |01011090|              |12/10/2015 10:19:37
25453|LAMPADA ELET.EMPALUX 220X11W                                |219,00    |73000,00  |01011090|              |12/10/2015 10:19:37
25454|GEL FIXAD BOZZANO ES.AZUL REL 230G                          |36,00     |36000,00  |01011090|              |12/10/2015 10:19:37
25455|MISTURA BOLO SANDELA CHOCOLATE 400G                         |95,00     |31500,00  |01011090|              |12/10/2015 10:19:37
25456|SUCO ADORALLE GUARANA 30G                                   |8,00      |7500,00   |01011090|              |12/10/2015 10:19:37
25457|BOLACHA AMANDA DOCE DE LEITE 110G                           |0,00      |10000,00  |19053100|              |12/10/2015 10:19:37
25458|BOLACHA AMANDA FLOCOS 110G                                  |10,00     |10000,00  |19053100|              |12/10/2015 10:19:37
25459|SUCO AORALLE FRUTAS VERM.30G                                |38,00     |7500,00   |01011090|              |12/10/2015 10:19:37
25460|SUCO ADORALLE LIMAO 30G                                     |30,00     |7500,00   |01011090|              |12/10/2015 10:19:37
25461|SUCO ADORALLE LARANJA MAMAO 30G                             |15,00     |7500,00   |01011090|              |12/10/2015 10:19:37
25462|SUCO ADORALLE CAJU 30G                                      |38,00     |7500,00   |01011090|              |12/10/2015 10:19:37
25463|SUCO REFRESKANT ABACAXI 140G                                |88,00     |17500,00  |01011090|              |12/10/2015 10:19:37
25464|SUCO REFRESKANT UVA 140G                                    |70,00     |17500,00  |01011090|              |12/10/2015 10:19:37
25465|ESPELHO PAVAO N16                                           |96,00     |48000,00  |01011090|              |12/10/2015 10:19:37
25466|AGUA DE COCO LA FRUIT 1LT                                   |288,00    |57500,00  |2201    |              |12/10/2015 10:19:37
25467|SUCO ADORALLE ABACAXI 1LT                                   |175,00    |35000,00  |01011090|              |12/10/2015 10:19:37
25468|ALGODAO APOLO 25G                                           |42,00     |21000,00  |01011090|              |12/10/2015 10:19:37
25469|BALA BUTTER TOFFEES CHOCO.750G                              |468,00    |117000,00 |200799  |              |12/10/2015 10:19:37
25470|FIO DENTAL JHONSON E JHONSON MENTA 100M                     |266,00    |88500,00  |01011090|              |12/10/2015 10:19:37
25471|PREDENDOR VARAL 12UN                                        |26,00     |13000,00  |01011090|              |12/10/2015 10:19:37
25472|REPELENE CITROLUX 8VELAS 35G                                |73,00     |73000,00  |34060000|              |12/10/2015 10:19:37
25473|BOMBOM NESTLE ESPECIALIDADES 355G                           |209,00    |104500,00 |180631  |              |12/10/2015 10:19:37
25474|SACO LIXO LIXOLIX 100LT                                     |80,00     |20000,00  |01011090|              |12/10/2015 10:19:37
25475|PAPEL ALUMINIO WYDA 7,5M 30CM                               |78,00     |39000,00  |76071110|              |12/10/2015 10:19:37
25476|CHOCO.LACTA VARIEDADES 332G                                 |440,00    |110000,00 |01011090|              |12/10/2015 10:19:37
25477|TINTURA NUTRISSE CASTANHO VERMELHO 46                       |474,00    |158000,00 |33059000|              |12/10/2015 10:19:37
25478|SABONETE +FAMILIA MEL COM CEREAIS 90G                       |40,00     |10000,00  |01011090|              |12/10/2015 10:19:37
25479|SABONETE FRANCIS LAVANDA 90G                                |22,00     |11000,00  |01011090|              |12/10/2015 10:19:37
25480|SUCO ADORALLE GOIABA 30G                                    |30,00     |7500,00   |01011090|              |12/10/2015 10:19:37
25481|FRALDA PERSONAL BABY MEGA XG                                |1556,00   |389000,00 |48184010|              |12/10/2015 10:19:37
25482|SUCO ADORALLE PESSEGO 30G                                   |8,00      |7500,00   |01011090|              |12/10/2015 10:19:37
25483|GELATINA ROYAL ZERO ACUCAR 12G                              |57,00     |19000,00  |350300  |              |12/10/2015 10:19:37
25484|BOLACHA FOFINHO DOCE DE LEITE 110G                          |46,00     |11500,00  |19053100|              |12/10/2015 10:19:37
25485|PIPOCA VELLY BACON 90G                                      |31,00     |15500,00  |100590  |              |12/10/2015 10:19:37
