id   |nome                                                        |precoCusto|precoVenda|ncm     |referencia    |dataCriacao        
6353 |CANETA BIC CRISTAL AZUL                                     |0,00      |8000,00   |01011090|              |12/10/2015 10:19:37
6354 |GELATINA AMALIA CEREJA 35G                                  |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
6355 |GELATINA AMALIA UVA 35G                                     |14,00     |7000,00   |350300  |              |12/10/2015 10:19:37
6356 |GELATINA AMALIA FRAMBOESA 35G                               |0,00      |7000,00   |350300  |              |12/10/2015 10:19:37
6357 |MACARRAO SANDELLA CALABRESA PIC.85G                         |20,00     |10000,00  |19023000|              |12/10/2015 10:19:37
6358 |FIAMBRE BORDON 320G                                         |101,00    |33500,00  |01011090|              |12/10/2015 10:19:37
6359 |TAL E QUAL ASSUGRIM DIET 133G                               |101,00    |100500,00 |294000  |              |12/10/2015 10:19:37
6360 |AMIDO DE MAIZENA 1KG                                        |238,00    |118900,00 |01011090|              |12/10/2015 10:19:37
6361 |MAIONESE HELLMANN´S 500G                                    |368,00    |73500,00  |39012029|              |12/10/2015 10:19:37
6362 |KETCHUP SABORELLE 400G                                      |120,00    |30000,00  |01011090|              |12/10/2015 10:19:37
6363 |CHICLE BUZZY TAT.TUTTI FRUTTI 400G                          |210,00    |70000,00  |17041000|              |12/10/2015 10:19:37
6364 |ACHOC. NESTLE NESCAU 200G                                   |172,00    |43000,00  |18069000|              |12/10/2015 10:19:37
6365 |LEITE EM PO GLORIA 400G                                     |84,00     |84000,00  |040210  |              |12/10/2015 10:19:37
6366 |TEMPERO SABORELLE COMPLETO SEM PIMENTA 930G                 |237,00    |79000,00  |21039021|              |12/10/2015 10:19:37
6367 |AZEITE ANDORINHA EXTRA VIRGEM 500ML                         |176,00    |176000,00 |01011090|              |12/10/2015 10:19:37
6368 |BOLACHA VISCONTI LIMAO 120G                                 |64,00     |16000,00  |19053200|              |12/10/2015 10:19:37
6369 |BOLACHA SOCIAL CLUB ORI.156G                                |0,00      |36500,00  |230990  |              |12/10/2015 10:19:37
6370 |TEMPERO VELLY LEGUMES 50G                                   |150,00    |29900,00  |210390  |              |12/10/2015 10:19:37
6371 |TEMPERO VELLY AVES 50G                                      |60,00     |29900,00  |210390  |              |12/10/2015 10:19:37
6372 |SAZON TOQUE DE ALECRIM 60G                                  |0,00      |42000,00  |21039021|              |12/10/2015 10:19:37
